usgs_report_date,usgs_water_temp_max,usgs_water_temp_min,usgs_water_temp_mean,usgs_conductivity_max,usgs_conductivity_min,usgs_conductivity_mean
2018-06-17,15.714285714285714,13.271428571428572,14.542857142857143,198.0,177.57142857142858,185.71428571428572
2018-06-18,16.442857142857143,14.0,15.27142857142857,197.0,176.42857142857142,184.85714285714286
2018-06-19,17.114285714285717,15.057142857142859,16.157142857142855,195.85714285714286,175.85714285714286,183.85714285714286
2018-06-20,17.442857142857143,15.357142857142858,16.45714285714286,196.42857142857142,175.0,183.0
2018-06-21,17.75714285714286,15.471428571428572,16.657142857142855,196.14285714285714,174.85714285714286,182.57142857142858
2018-06-22,17.857142857142858,15.085714285714287,16.6,198.0,175.57142857142858,183.42857142857142
2018-06-23,17.985714285714288,15.0,16.74285714285714,201.14285714285714,177.0,185.71428571428572
2018-06-24,18.014285714285712,15.1,16.814285714285713,204.71428571428572,177.0,186.85714285714286
2018-06-25,17.8,15.285714285714286,16.785714285714285,203.71428571428572,177.42857142857142,186.57142857142858
2018-06-26,17.642857142857142,14.971428571428572,16.52857142857143,203.71428571428572,176.71428571428572,186.14285714285714
2018-06-27,17.7,15.271428571428572,16.62857142857143,203.0,176.85714285714286,185.85714285714286
2018-06-28,17.685714285714287,15.314285714285715,16.728571428571428,202.57142857142858,176.85714285714286,185.71428571428572
2018-06-29,17.9,16.0,17.085714285714285,199.85714285714286,176.0,184.14285714285714
2018-06-30,18.22857142857143,16.514285714285716,17.414285714285715,197.14285714285714,174.71428571428572,182.28571428571428
2018-07-01,18.685714285714287,16.914285714285715,17.814285714285713,192.57142857142858,174.71428571428572,181.0
2018-07-02,19.285714285714285,17.271428571428572,18.257142857142856,193.57142857142858,175.0,181.57142857142858
2018-07-03,20.285714285714285,17.914285714285715,19.185714285714287,193.71428571428572,175.71428571428572,182.57142857142858
2018-07-04,20.942857142857143,18.7,19.942857142857143,193.28571428571428,176.0,183.14285714285714
2018-07-05,21.714285714285715,19.342857142857145,20.557142857142857,195.28571428571428,176.28571428571428,183.71428571428572
2018-07-06,22.785714285714285,19.97142857142857,21.47142857142857,198.57142857142858,177.42857142857142,185.0
2018-07-07,23.485714285714284,20.557142857142857,22.2,199.57142857142858,178.85714285714286,185.85714285714286
2018-07-08,23.82857142857143,20.62857142857143,22.45714285714286,200.42857142857142,179.14285714285714,186.14285714285714
2018-07-09,24.057142857142853,20.428571428571427,22.599999999999998,200.28571428571428,179.14285714285714,186.0
2018-07-10,23.942857142857143,20.642857142857142,22.557142857142853,200.85714285714286,179.28571428571428,186.28571428571428
2018-07-11,23.97142857142857,20.67142857142857,22.642857142857142,202.28571428571428,179.42857142857142,186.71428571428572
2018-07-12,23.657142857142862,20.37142857142857,22.414285714285715,202.42857142857142,179.57142857142858,187.0
2018-07-13,23.185714285714283,19.900000000000002,21.942857142857147,199.28571428571428,179.85714285714286,186.57142857142858
2018-07-14,22.914285714285715,19.771428571428572,21.642857142857142,199.0,179.85714285714286,186.71428571428572
2018-07-15,22.842857142857138,20.12857142857143,21.75714285714286,198.28571428571428,180.28571428571428,186.85714285714286
2018-07-16,22.771428571428572,20.642857142857142,21.900000000000002,197.14285714285714,181.0,186.85714285714286
2018-07-17,22.814285714285713,20.67142857142857,21.900000000000002,195.57142857142858,181.28571428571428,186.42857142857142
2018-07-18,22.900000000000002,20.842857142857145,21.985714285714288,193.0,181.28571428571428,185.71428571428572
2018-07-19,23.22857142857143,21.2,22.342857142857138,192.28571428571428,181.57142857142858,185.42857142857142
2018-07-20,23.38571428571429,21.58571428571429,22.514285714285712,192.28571428571428,180.28571428571428,185.14285714285714
2018-07-21,23.571428571428573,21.814285714285717,22.757142857142856,192.14285714285714,179.42857142857142,184.57142857142858
2018-07-22,23.77142857142857,22.071428571428573,22.94285714285714,191.0,177.85714285714286,183.57142857142858
2018-07-23,23.88571428571429,22.242857142857144,23.057142857142853,190.42857142857142,176.14285714285714,182.28571428571428
2018-07-24,23.842857142857145,22.414285714285715,23.157142857142855,189.57142857142858,175.0,181.57142857142858
2018-07-25,23.87142857142857,22.5,23.185714285714283,190.0,174.85714285714286,181.85714285714286
2018-07-26,23.857142857142858,22.814285714285713,23.285714285714285,190.28571428571428,170.85714285714286,181.85714285714286
2018-07-27,23.91428571428571,23.099999999999998,23.471428571428568,190.57142857142858,168.42857142857142,181.28571428571428
2018-07-28,23.971428571428568,23.285714285714285,23.557142857142857,191.57142857142858,170.0,182.57142857142858
2018-07-29,23.95714285714286,23.32857142857143,23.599999999999998,193.85714285714286,172.42857142857142,184.42857142857142
2018-07-30,24.04285714285714,23.37142857142857,23.685714285714287,196.42857142857142,174.42857142857142,186.71428571428572
2018-07-31,24.17142857142857,23.400000000000002,23.75714285714286,199.85714285714286,176.42857142857142,189.14285714285714
2018-08-01,24.25714285714286,23.457142857142856,23.82857142857143,201.42857142857142,176.57142857142858,189.57142857142858
2018-08-02,24.41428571428571,23.571428571428573,23.942857142857147,201.0,181.28571428571428,190.71428571428572
2018-08-03,24.47142857142857,23.657142857142855,24.014285714285716,202.14285714285714,185.57142857142858,192.42857142857142
2018-08-04,24.428571428571427,23.74285714285714,24.057142857142857,201.42857142857142,185.28571428571428,192.14285714285714
2018-08-05,24.457142857142856,23.74285714285714,24.071428571428573,202.28571428571428,185.57142857142858,192.57142857142858
2018-08-06,24.58571428571429,23.785714285714285,24.142857142857142,202.42857142857142,185.0,192.42857142857142
2018-08-07,24.75714285714286,23.928571428571427,24.285714285714285,201.28571428571428,184.42857142857142,191.42857142857142
2018-08-08,24.82857142857143,24.114285714285717,24.442857142857143,201.42857142857142,185.28571428571428,192.28571428571428
2018-08-09,24.91428571428571,24.2,24.52857142857143,203.85714285714286,186.14285714285714,193.57142857142858
2018-08-10,25.016666666666666,24.25,24.616666666666664,203.85714285714286,186.0,193.71428571428572
2018-08-11,25.25,24.266666666666666,24.75,207.71428571428572,187.0,195.57142857142858
2018-08-12,25.349999999999998,24.25,24.766666666666666,207.28571428571428,186.85714285714286,195.42857142857142
2018-08-13,25.349999999999998,24.366666666666664,24.833333333333332,206.28571428571428,186.71428571428572,195.0
2018-08-14,25.349999999999998,24.38333333333333,24.849999999999998,206.85714285714286,187.28571428571428,195.71428571428572
2018-08-15,25.46666666666667,24.433333333333334,24.900000000000002,209.71428571428572,187.57142857142858,197.57142857142858
2018-08-16,25.583333333333332,24.55,25.03333333333333,208.42857142857142,185.14285714285714,195.85714285714286
2018-08-17,25.61428571428571,24.585714285714285,25.085714285714285,209.42857142857142,183.85714285714286,196.42857142857142
2018-08-18,25.5,24.585714285714285,25.014285714285712,207.85714285714286,174.71428571428572,194.85714285714286
2018-08-19,25.442857142857143,24.642857142857142,25.02857142857143,208.85714285714286,172.14285714285714,194.14285714285714
2018-08-20,25.342857142857145,24.514285714285716,24.91428571428571,211.14285714285714,172.57142857142858,194.85714285714286
2018-08-21,25.199999999999996,24.371428571428574,24.785714285714285,212.28571428571428,172.28571428571428,194.71428571428572
2018-08-22,24.985714285714284,24.185714285714283,24.599999999999998,208.85714285714286,172.14285714285714,192.42857142857142
2018-08-23,24.67142857142857,23.857142857142858,24.285714285714285,209.28571428571428,173.71428571428572,193.42857142857142
2018-08-24,24.300000000000004,23.528571428571432,23.928571428571427,209.28571428571428,175.42857142857142,193.42857142857142
2018-08-25,24.099999999999998,23.22857142857143,23.685714285714283,211.42857142857142,183.71428571428572,194.14285714285714
2018-08-26,24.0,23.08571428571429,23.542857142857144,209.14285714285714,185.57142857142858,194.0
2018-08-27,23.82857142857143,22.971428571428568,23.400000000000002,206.28571428571428,186.0,193.71428571428572
2018-08-28,23.657142857142862,22.87142857142857,23.24285714285714,204.42857142857142,185.85714285714286,193.14285714285714
2018-08-29,23.58571428571429,22.771428571428572,23.157142857142855,210.71428571428572,185.71428571428572,194.57142857142858
2018-08-30,23.642857142857142,22.8,23.171428571428574,210.28571428571428,185.57142857142858,194.14285714285714
2018-08-31,23.72857142857143,22.714285714285715,23.2,212.42857142857142,184.85714285714286,193.57142857142858
2018-09-01,23.671428571428574,22.628571428571426,23.114285714285717,208.14285714285714,184.14285714285714,192.42857142857142
2018-09-02,23.571428571428573,22.557142857142853,23.042857142857144,208.0,183.71428571428572,192.0
2018-09-03,23.52857142857143,22.514285714285712,23.0,207.71428571428572,183.28571428571428,191.28571428571428
2018-09-04,23.571428571428573,22.485714285714288,23.014285714285712,211.85714285714286,183.42857142857142,191.71428571428572
2018-09-05,23.485714285714284,22.357142857142858,22.942857142857147,211.0,183.14285714285714,190.28571428571428
